59421403	4695860	59028697	5379478	53757384	5371826
58781139	4707006	59209597	5391214	54728213	5337757
59577347	4698560	60391819	5338012	55936705	5318411
59628635	4698761	62490867	5306472	53544250	5378977
59434809	4694630	62797037	5317470	54230005	5356749
61595643	4668093	59445155	5368162	55270957	5331260
59674051	4680320	59237357	5365114	53522327	5376980
61022989	4689186	60273605	5343791	54848743	5341534
60380821	4668476	60232223	5345522	53980686	5361545
61035317	4672422	60190123	5345887	53556031	5376594
60082641	4694326	59950055	5338334	54690326	5342847
58672581	4696311	60598931	5342311	54857716	5329529
61166241	4686471	58795917	5380184	54496091	5350715
59242841	4705651	58273515	5401490	54044852	5366614
60838777	4660249	58611619	5391356	54342016	5355815
60506973	4698226	59026357	5371381	53816806	5370246
58487727	4714662	60185587	5364648	54239384	5352257
61637605	4666481	59601781	5361751	55319247	5312249
60314287	4680976	58632947	5385750	53656011	5372800
59293179	4701249	58134689	5397702	54545338	5355322
59580771	4690829	58754443	5384671	54325810	5351424
59374091	4706797	60066893	5373016	55005863	5337591
62084875	4643259	63902677	5303497	54653895	5333918
59976283	4695874	61430153	5334129	54702368	5350927
59441315	4697328	59816605	5362386	54001130	5363158
58861869	4701623	59075407	5375796	54108315	5363788
59824605	4686590	60431169	5342402	54260161	5352075
61356463	4671289	58914855	5386937	55346674	5322517
60830631	4697974	60242637	5362596	56167374	5315880
62096159	4663058	61544665	5323912	55229196	5338419
